Entity,Code,Year,Annual greenhouse gas emissions including land use
Japan,JPN,1913,0.0702243
Japan,JPN,1914,0.076130821
Japan,JPN,1915,0.068573262
Japan,JPN,1916,0.079034959
Japan,JPN,1917,0.084129195
Japan,JPN,1918,0.090039057
Japan,JPN,1919,0.096010525
Japan,JPN,1920,0.091750791
Japan,JPN,1921,0.087380582
Japan,JPN,1922,0.093373102
Japan,JPN,1923,0.098437834
Japan,JPN,1924,0.103257548
Japan,JPN,1925,0.105899071
Japan,JPN,1926,0.108503464
Japan,JPN,1927,0.114933609
Japan,JPN,1928,0.116263366
Japan,JPN,1929,0.120262914
Japan,JPN,1930,0.112622433
Japan,JPN,1931,0.107213735
Japan,JPN,1932,0.109668785
Japan,JPN,1933,0.121359202
Japan,JPN,1934,0.130247947
Japan,JPN,1935,0.133867159
Japan,JPN,1936,0.141942277
Japan,JPN,1937,0.148871885
Japan,JPN,1938,0.155814285
Japan,JPN,1939,0.155167321
Japan,JPN,1940,0.176782015
Japan,JPN,1941,0.178185266
Japan,JPN,1942,0.175032737
Japan,JPN,1943,0.178390972
Japan,JPN,1944,0.171694524
Japan,JPN,1945,0.121649176
Japan,JPN,1946,0.103141949
Japan,JPN,1947,0.120363269
Japan,JPN,1948,0.135335522
Japan,JPN,1949,0.143742967
Japan,JPN,1950,0.150737063
Japan,JPN,1951,0.163124915
Japan,JPN,1952,0.172748835
Japan,JPN,1953,0.188234743
Japan,JPN,1954,0.181529198
Japan,JPN,1955,0.184873634
Japan,JPN,1956,0.199194845
Japan,JPN,1957,0.223359482
Japan,JPN,1958,0.215539592
Japan,JPN,1959,0.236909042
Japan,JPN,1960,0.262890281
Japan,JPN,1961,0.297675847
Japan,JPN,1962,0.303977084
Japan,JPN,1963,0.327925617
Japan,JPN,1964,0.352016744
Japan,JPN,1965,0.371794385
Japan,JPN,1966,0.392072852
Japan,JPN,1967,0.452961794
Japan,JPN,1968,0.504767631
Japan,JPN,1969,0.578977134
Japan,JPN,1970,0.66294252
Japan,JPN,1971,0.678319669
Japan,JPN,1972,0.718170621
Japan,JPN,1973,0.756152799
Japan,JPN,1974,0.752883753
Japan,JPN,1975,0.711946452
Japan,JPN,1976,0.740673957
Japan,JPN,1977,0.758739616
Japan,JPN,1978,0.734738445
Japan,JPN,1979,0.772151322
Japan,JPN,1980,0.761429737
Japan,JPN,1981,0.746676281
Japan,JPN,1982,0.725172663
Japan,JPN,1983,0.712321974
Japan,JPN,1984,0.757665795
Japan,JPN,1985,0.735252935
Japan,JPN,1986,0.732978332
Japan,JPN,1987,0.720849343
Japan,JPN,1988,0.785675286
Japan,JPN,1989,0.810955983
Japan,JPN,1990,0.907648357
Japan,JPN,1991,0.913568971
Japan,JPN,1992,0.921194366
Japan,JPN,1993,0.917104786
Japan,JPN,1994,0.959132792
Japan,JPN,1995,0.966154314
Japan,JPN,1996,0.97928199
Japan,JPN,1997,0.966667072
Japan,JPN,1998,0.937753049
Japan,JPN,1999,0.959513054
Japan,JPN,2000,0.977337796
Japan,JPN,2001,0.95888879
Japan,JPN,2002,0.977091536
Japan,JPN,2003,0.982202345
Japan,JPN,2004,0.976843922
Japan,JPN,2005,0.984169337
Japan,JPN,2006,0.964190331
Japan,JPN,2007,0.993033103
Japan,JPN,2008,0.938422532
Japan,JPN,2009,0.881450036
Japan,JPN,2010,0.92086143
Japan,JPN,2011,0.96401728
Japan,JPN,2012,0.99531866
Japan,JPN,2013,1
Japan,JPN,2014,0.961707345
Japan,JPN,2015,0.931286646
Japan,JPN,2016,0.91604526
Japan,JPN,2017,0.90788002
Japan,JPN,2018,0.873933813
Japan,JPN,2019,0.843066416
Japan,JPN,2020,0.796546373
Japan,JPN,2021,0.815130058
Japan,JPN,2022,0.794485181
Japan,JPN,2023,0.759858355
Japan,JPN,2024,0.741287612
